Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Minutes,GW,FirstName
John Stones,1.4195963,DEF,Manchester City,1,Aston Villa,5.2,FALSE,2021,54,32,Stones
Toby Alderweireld,1.3971473,DEF,Tottenham Hotspur,1,Everton,5.4,FALSE,2021,36,32,Alderweireld
Rob Holding,1.393629,DEF,Arsenal,1,Fulham,4.2,TRUE,2021,36,32,Holding
Gabriel MagalhÃ£es,1.391821,DEF,Arsenal,1,Fulham,4.9,TRUE,2021,36,32,Gabriel
Rayan Ait Nouri,1.3863384,DEF,Wolverhampton Wanderers,1,Sheffield United,5,TRUE,2021,44.75,32,Ait Nouri
Matt Doherty,1.3405206,DEF,Tottenham Hotspur,0.25,Everton,5.6,FALSE,2021,15,32,Doherty
Benjamin Mendy,1.3308244,DEF,Manchester City,1,Aston Villa,5.9,FALSE,2021,52.4,32,Mendy
Emil Krafth,1.2887079,DEF,Newcastle United,1,West Ham United,4.2,TRUE,2021,40,32,Krafth
Japhet Tanganga,1.2868745,DEF,Tottenham Hotspur,1,Everton,4.9,FALSE,2021,36,32,Tanganga
Mohammed Salisu,1.2502934,DEF,Southampton,1,Tottenham Hotspur,4.3,FALSE,2021,20.2,32,Salisu
Kyle Walker,1.2101742,DEF,Manchester City,1,Aston Villa,6.1,FALSE,2021,41,32,Walker
Willy Boly,1.1979146,DEF,Wolverhampton Wanderers,0.75,Sheffield United,5.4,TRUE,2021,22.5,32,Boly
Thiago Thiago,1.0876889,DEF,Chelsea,1,Brighton and Hove Albion,5.6,TRUE,2021,28,32,Thiago Silva
Robin Koch,1.0610659,DEF,Leeds,1,Liverpool,4.3,TRUE,2021,9.666666667,32,Koch
CÃ©dric Soares,1.0589856,DEF,Arsenal,1,Fulham,4.6,TRUE,2021,27,32,CÃ©dric
Javier Manquillo,1.0352064,DEF,Newcastle United,1,West Ham United,4.2,TRUE,2021,26,32,Manquillo
Neco Williams,1.0350213,DEF,Liverpool,1,Leeds,3.8,FALSE,2021,18.75,32,Neco Williams
Aymeric Laporte,0.99935627,DEF,Manchester City,1,Aston Villa,6,FALSE,2021,54,32,Laporte
Oluwasemilogo Adesewo Ibidapo Ajayi,0.97436017,DEF,West Bromwich Albion,1,Leicester City,4.8,FALSE,2021,23.75,32,Ajayi
Benjamin Chilwell,0.9708739,DEF,Chelsea,1,Brighton and Hove Albion,5.8,TRUE,2021,45,32,Chilwell
Eric Dier,0.92597765,DEF,Tottenham Hotspur,1,Everton,4.6,FALSE,2021,18,32,Dier
Pablo MarÃ­,0.9235879,DEF,Arsenal,1,Fulham,4.4,TRUE,2021,54,32,MarÃ­
Joe Rodon,0.91482216,DEF,Tottenham Hotspur,1,Southampton,5,TRUE,2021,54,32,Rodon
Luke Thomas,0.9079652,DEF,Leicester City,1,West Bromwich Albion,4.1,TRUE,2021,11.25,32,Thomas
Terence Kongolo,0.900341,DEF,Fulham,1,Arsenal,4.3,FALSE,2021,18,32,Kongolo
Rhys Williams,0.8798491,DEF,Liverpool,1,Leeds,4,FALSE,2021,24,32,Rhys Williams
Daniel Amartey,0.87345666,DEF,Leicester City,1,West Bromwich Albion,3.9,TRUE,2021,56.25,32,Amartey
Phil Jagielka,0.8588047,DEF,Sheffield United,1,Wolverhampton Wanderers,3.9,FALSE,2021,30,32,Jagielka
Eric Garcia,0.84620035,DEF,Manchester City,1,Aston Villa,4.7,FALSE,2021,3,32,Garcia
Ben Johnson,0.8452758,DEF,West Ham United,1,Newcastle United,3.9,FALSE,2021,19,32,Johnson
Nathan AkÃ©,0.8441199,DEF,Manchester City,1,Aston Villa,5.4,FALSE,2021,11.6,32,AkÃ©
FabiÃ¡n Balbuena,0.8441199,DEF,West Ham United,1,Newcastle United,4.1,FALSE,2021,7.4,32,Balbuena
Antonio RÃ¼diger,0.824692,DEF,Chelsea,1,Brighton and Hove Albion,4.7,TRUE,2021,45,32,RÃ¼diger
Ahmed El Mohamady,0.8105208,DEF,Aston Villa,1,Manchester City,4.3,TRUE,2021,36,32,El Mohamady
Ben Davies,0.7803941,DEF,Liverpool,1,Leeds,4.8,FALSE,2021,4.714285714,32,Davies
Matt Doherty,0.72680295,DEF,Tottenham Hotspur,0.25,Southampton,5.6,TRUE,2021,15,32,Doherty
Eric Dier,0.7239021,DEF,Tottenham Hotspur,1,Southampton,4.6,TRUE,2021,18,32,Dier
Jayden Bogle,0.7208184,DEF,Sheffield United,1,Wolverhampton Wanderers,4.3,FALSE,2021,36,32,Bogle
