Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Gw,FirstName
Scott Carson,-0.010778227,GK,Manchester City,1,Leicester City,3.9,FALSE,2021,30,Carson
Jakub Ojrzynski,-0.010778227,GK,Liverpool,1,Arsenal,4,FALSE,2021,30,Ojrzynski
Zack Steffen,-0.015411267,GK,Manchester City,1,Leicester City,4.4,FALSE,2021,30,Steffen
Marcus Bettinelli,-0.015411267,GK,Fulham,0,Aston Villa,4.3,FALSE,2021,30,Bettinelli
Bailey Peacock-Farrell,-0.015411267,GK,Burnley,1,Southampton,4,FALSE,2021,30,Peacock-Farrell
Simon Moore,-0.015411267,GK,Sheffield United,0,Leeds,4.3,FALSE,2021,30,Moore
Roberto Jimenez Gago,-0.015411267,GK,West Ham United,0,Wolverhampton Wanderers,4.5,FALSE,2021,30,Roberto
David Button,-0.016257847,GK,West Bromwich Albion,1,Chelsea,3.9,FALSE,2021,30,Button
Wayne Hennessey,-0.017699843,GK,Crystal Palace,1,Everton,4.3,FALSE,2021,30,Hennessey
Caoimhin Kelleher,-0.28328788,GK,Liverpool,0.75,Arsenal,4.5,FALSE,2021,30,Kelleher
Trent Alexander-Arnold,5.255735,DEF,Liverpool,1,Arsenal,7.3,FALSE,2021,30,Alexander-Arnold
Matt Targett,4.9756207,DEF,Aston Villa,1,Fulham,5.1,TRUE,2021,30,Targett
Stuart Dallas,4.8966627,DEF,Leeds,1,Sheffield United,5.1,TRUE,2021,30,Dallas
Timothy Castagne,4.679849,DEF,Leicester City,1,Manchester City,5.7,TRUE,2021,30,Castagne
Kieran Tierney,4.6249266,DEF,Arsenal,1,Liverpool,5.2,TRUE,2021,30,Tierney
Aaron Wan-Bissaka,4.6040735,DEF,Manchester United,1,Brighton and Hove Albion,5.7,TRUE,2021,30,Wan-Bissaka
Lucas Digne,4.462152,DEF,Everton,1,Crystal Palace,6.2,TRUE,2021,30,Digne
Matthew Lowton,4.4573107,DEF,Burnley,1,Southampton,4.5,FALSE,2021,30,Lowton
Luke Shaw,4.4071,DEF,Manchester United,1,Brighton and Hove Albion,5.2,TRUE,2021,30,Shaw
Ezri Konsa Ngoyo,4.4055557,DEF,Aston Villa,1,Fulham,4.6,TRUE,2021,30,Konsa
Mason Holgate,4.2325487,DEF,Everton,1,Crystal Palace,4.8,TRUE,2021,30,Holgate
Ciaran Clark,4.2036157,DEF,Newcastle United,1,Tottenham Hotspur,4.5,TRUE,2021,30,Clark
Jannik Vestergaard,4.091529,DEF,Southampton,1,Burnley,4.7,TRUE,2021,30,Vestergaard
Ben Mee,4.0713153,DEF,Burnley,1,Southampton,4.9,FALSE,2021,30,Mee
David Luiz Moreira Marinho,3.9819822,DEF,Arsenal,1,Liverpool,5.4,TRUE,2021,30,David Luiz
Ã‡aglar SÃ¶yÃ¼ncÃ¼,3.979371,DEF,Leicester City,1,Manchester City,5.3,TRUE,2021,30,SÃ¶yÃ¼ncÃ¼
CÃ©sar Azpilicueta,3.979371,DEF,Chelsea,1,West Bromwich Albion,5.8,TRUE,2021,30,Azpilicueta
Romain SaÃ¯ss,3.979371,DEF,Wolverhampton Wanderers,1,West Ham United,4.9,TRUE,2021,30,SaÃ¯ss
Lewis Dunk,3.9522104,DEF,Brighton and Hove Albion,1,Manchester United,5,FALSE,2021,30,Dunk
Jan Bednarek,3.9414847,DEF,Southampton,1,Burnley,4.8,TRUE,2021,30,Bednarek
Luke Ayling,3.9254837,DEF,Leeds,1,Sheffield United,4.4,TRUE,2021,30,Ayling
Tyrone Mings,3.8680465,DEF,Aston Villa,1,Fulham,5.4,TRUE,2021,30,Mings
Ryan Bertrand,3.8675652,DEF,Southampton,1,Burnley,5,TRUE,2021,30,Bertrand
Jonny Evans,3.8403037,DEF,Leicester City,1,Manchester City,5.5,TRUE,2021,30,Evans
NÃ©lson Cabral Semedo,3.7644181,DEF,Wolverhampton Wanderers,1,West Ham United,5.2,TRUE,2021,30,Semedo
Ricardo Domingos Barbosa Pereira,3.736848,DEF,Leicester City,0.75,Manchester City,5.9,TRUE,2021,30,Pereira
Kyle Walker-Peters,3.669344,DEF,Southampton,1,Burnley,4.7,TRUE,2021,30,Walker-Peters
Harry Maguire,3.6299145,DEF,Manchester United,1,Brighton and Hove Albion,5.5,TRUE,2021,30,Maguire
Gary Cahill,3.5246885,DEF,Crystal Palace,1,Everton,4.5,FALSE,2021,30,Cahill
Joel Ward,3.5092602,DEF,Crystal Palace,1,Everton,4.3,FALSE,2021,30,Ward
Conor Coady,3.4497333,DEF,Wolverhampton Wanderers,1,West Ham United,4.8,TRUE,2021,30,Coady
Conor Townsend,3.3888469,DEF,West Bromwich Albion,1,Chelsea,4.4,FALSE,2021,30,Townsend
Wesley Fofana,3.3536537,DEF,Leicester City,1,Manchester City,5,TRUE,2021,30,Fofana
Pascal Struijk,3.3414478,DEF,Leeds,1,Sheffield United,4,TRUE,2021,30,Struijk
Michael Keane,3.3413978,DEF,Everton,1,Crystal Palace,5.1,TRUE,2021,30,Keane
James Tarkowski,3.323071,DEF,Burnley,1,Southampton,5.3,FALSE,2021,30,Tarkowski
Jamaal Lascelles,3.2839448,DEF,Newcastle United,1,Tottenham Hotspur,4.2,TRUE,2021,30,Lascelles
Ozan Kabak,3.283864,DEF,Liverpool,1,Arsenal,5,FALSE,2021,30,Kabak
Kyle Bartley,3.256201,DEF,West Bromwich Albion,1,Chelsea,4.4,FALSE,2021,30,Bartley
Tosin Adarabioyo,3.250778,DEF,Fulham,1,Aston Villa,4.5,FALSE,2021,30,Adarabioyo
Ola Aina,3.1991987,DEF,Fulham,1,Aston Villa,4.6,FALSE,2021,30,Aina
Ainsley Maitland-Niles,3.053007,DEF,West Bromwich Albion,1,Chelsea,4.6,FALSE,2021,30,Maitland-Niles
Kenny Tete,3.0488555,DEF,Fulham,1,Aston Villa,4.3,FALSE,2021,30,Tete
Ben White,3.0344934,DEF,Brighton and Hove Albion,1,Manchester United,4.4,FALSE,2021,30,White
Ahmed El Mohamady,3.0113983,DEF,Aston Villa,1,Fulham,4.3,TRUE,2021,30,El Mohamady
Joachim Andersen,2.865894,DEF,Fulham,1,Aston Villa,4.5,FALSE,2021,30,Andersen
Ethan Ampadu,2.8522975,DEF,Sheffield United,1,Leeds,4.3,FALSE,2021,30,Ampadu
Patrick van Aanholt,2.824618,DEF,Crystal Palace,1,Everton,5.4,FALSE,2021,30,van Aanholt
Ben Godfrey,2.824494,DEF,Everton,1,Crystal Palace,5,TRUE,2021,30,Godfrey
Vladimir Coufal,2.740953,DEF,West Ham United,1,Wolverhampton Wanderers,4.6,FALSE,2021,30,Coufal
Enda Stevens,2.7015486,DEF,Sheffield United,1,Leeds,5,FALSE,2021,30,Stevens
Issa Diop,2.6590993,DEF,West Ham United,1,Wolverhampton Wanderers,4.3,FALSE,2021,30,Diop
Antonio Rudiger,2.6548152,DEF,Chelsea,1,West Bromwich Albion,4.6,TRUE,2021,30,Rudiger
Victor Lindelof,2.6548152,DEF,Manchester United,1,Brighton and Hove Albion,4.8,TRUE,2021,30,Lindelof
Emil Krafth,2.642282,DEF,Newcastle United,1,Tottenham Hotspur,4.2,TRUE,2021,30,Krafth
Toby Alderweireld,2.5203133,DEF,Tottenham Hotspur,1,Newcastle United,5.4,FALSE,2021,30,Alderweireld
Diego Llorente,2.488052,DEF,Leeds,1,Sheffield United,4.4,TRUE,2021,30,Llorente
Sergio Reguilon,2.4243128,DEF,Tottenham Hotspur,1,Newcastle United,5.5,FALSE,2021,30,Reguilon
Kean Bryan,2.4154599,DEF,Sheffield United,1,Leeds,3.9,FALSE,2021,30,Bryan
Chris Basham,2.341211,DEF,Sheffield United,1,Leeds,4.6,FALSE,2021,30,Basham
JoÃ£o Pedro Cavaco Cancelo,2.3379855,DEF,Manchester City,1,Leicester City,6.1,FALSE,2021,30,Cancelo
Craig Dawson,2.3328419,DEF,West Ham United,1,Wolverhampton Wanderers,4.5,FALSE,2021,30,Dawson
Davinson Sanchez,2.3319654,DEF,Tottenham Hotspur,1,Newcastle United,5.2,FALSE,2021,30,Sanchez
Joel Veltman,2.3319654,DEF,Brighton and Hove Albion,1,Manchester United,4.4,FALSE,2021,30,Veltman
Jonathan Castro Otto,2.309094,DEF,Wolverhampton Wanderers,1,West Ham United,5.4,TRUE,2021,30,Jonny
